,slug,name,last_name,profile_picture,company_picture,company_name,company_role,bio,verticals,vertical
0,cristopher-parrela,Cristopher,Parrela,Q3Jpc3RvcGhlciBQYXJyZWxhIDM5NzYyIDU1NDQ2.jpeg,,Picpay,Backend Software Engineer,"Formado em Ciência da Computação em 2016, trabalho como desenvolvedor de software a 8 anos, meu cargo atual é Backend Software Engineer na Picpay",['WD'],programação
1,guilherme-yoshimura,Guilherme,Yoshimura,R3VpbGhlcm1lIFlvc2hpbXVyYSA2MTcgMzE4NzggYWRt.jpeg,R3VpbGhlcm1lIFlvc2hpbXVyYSA2MTcgNTk4MjFfYWRt.jpeg,Nestle,Data Scientist Manager,"Data Scientist Manager com experiência em empresas como Itaú e Nestlé, Guilherme é formado em Ciência da Computação pela USP e Universidade do Alabama e possui mestrado pelo IME-USP.",['DS'],ciência de dados
2,wesley-silva,Wesley,Lima,V2VzbGV5IFNpbHZhIDI3ODg0IDUxMDQw.jpeg,V2VzbGV5IExpbWEgMjc4ODQgMzQwMjYgY29tcA==.png,Agrotools,Data Scientist,"Data Scientist, com experiência em empresas como Intelivix e  Ibratec, Wesley é formado em Bacharelado em Ciências Biológicas pela UFRPE/UAST e possui Mestrado e Doutorado em Biometria e Estatística Aplicada pela Universidade Federal Rural de Pernambuco.",['DS'],ciência de dados
3,fabio-muniz,Fábio,Muniz,RmFiaW8gTXVuaXogMTQ5NzUgNTUwNDM=.jpeg,RmFiaW8gTXVuaXogMTQ5NzUgOTUyMzMgY29tcA==.png,Awari,Fundador & CEO,"Fundador e CEO da Awari. Antes disso, fui designer de produto e trabalhei com clientes como a Google, Colgate, Viacom e outros. Já mentorei mais de 120 alunos e dei aulas de UX e UI design. ",['UX'],design
4,anilton-cardoso,Anilton,Cardoso,QW5pbHRvbiBDYXJkb3NvIDQxNjc2IDcxNjYx.jpeg,QW5pbHRvbiBDYXJkb3NvIDQxNjc2IDEzNzk3IGNvbXA=.jpeg,Bitka Analytics,Senior Data Scientist,,['DS'],ciência de dados
5,odair-bonin,Odair,Bonin,T2RhaXIgQm9uaW4gMTc2NjEgMzk3OTM=.jpeg,T2RhaXIgQm9uaW4gMTc2NjEgNDc4NTYgY29tcA==.png,Nubank,Engineering Manager,"Engineering Tech Manager com experiência em empresas como Nubank, CI&T e B2W Digital, Odair é graduado em BCC e possui MBA pela USP.",['WD'],programação
6,kimberly-salmi,Kimberly,Salmi,S2ltYmVybHkgU2FsbWkgMzIwNDcgMzEzODk=.png,S2ltYmVybHkgU2FsbWkgMzIwNDcgNzkzNDAgY29tcA==.png,Sólides,Product Marketing Manager,"Publicitária com especialização em marketing digital pela ESPM atuando há 7 anos com marketing, construi minha carreira de marketing de produto dentro da Superlógica Tecnologias. Lá, tive a oportunidade de trabalhar como Coordenadora de Marketing de Produto por mais de 2 anos, liderando estratégias de lançamentos de produtos e features, posicionamento, comunicação interna e externa, entre outros. Atualmente, atuo como PMM na maior HRtech do Brasil! Será um prazer poder te ajudar nesta jornada com MKT de produto ;)",['PM'],gestão de produtos
7,lucas-brogni,Lucas,Brogni,THVjYXMgQnJvZ25pIDI5ODA5IDUzOTk=.jpeg,THVjYXMgQnJvZ25pIDI5ODA5IDgxMTc5IGNvbXA=.png,Pleo,Software Engineer,Software Engineer com experiências no Brasil e na Europa. Atualmente trabalhando em um 🦄 dinamarquês. Graduado em Sistemas para Internet pelo SENAI em Jaraguá do Sul/SC e pós graduado em Arquitetura de Software pela IGTI.,['WD'],programação
8,caio-de,Caio de,Albuquerque,Q2FpbyBkZSBBbGJ1cXVlcnF1ZSBWaXRhbCAzOTQ3IDkwNTIz.jpeg,Q2FpbyBEZSBBbGJ1cXVlcnF1ZSAxMjggNDU0ODhfYWRt.jpeg,XP Inc,Senior Product Designer,"Senior Product Designer com experiência em empresas como XP Inc, MovilePay e Itaú, Caio é graduado em Design pela Universidade de São Paulo (USP).","['UX', 'PM']",design
9,renan-martins,Renan,Martins,UmVuYW4gTWFydGlucyAxMTU1NCA3MzQ1OQ==.png,UmVuYW4gTWFydGlucyAxOTggODE5NzRfYWRt.jpeg,Itaú,Sênior Product Designer,"Sênior Product Designer com experiência em empresas como Itaú, GetNinjas, Gupy, AASP e Everis. Bacharel em Game Design pela UAM e Pós-graduado em Inovação, Design e Estratégia pela ESPM.",['UX'],design
